neo_reference_id,name,absolute_magnitude_h,kilometer_est_diameter_min,kilometer_est_diameter_max,potentially_hazardous,perihelion_distance,aphelion_distance,orbital_period,semi_major_axis,min_orbit_intersection
2275677,275677 (2000 RS11),19.0,0.4212646106,0.9419763057,True,.8698488256412368,1.690539747369314,529.0689248847378,1.280194286505275,.00848105
2275974,275974 (2001 XD),18.5,0.5303407233,1.1858779086,False,.4172220299347438,3.672502014591962,1068.057024375309,2.044862022263353,.0641123
2276049,276049 (2002 CE26),16.8,1.1602590821,2.5944181791,False,.9806231592769039,3.485639361772594,1218.904845488882,2.233131260524749,.0966146
2275975,275975 (2001 XF1),19.2,0.3841978911,0.8590926012,False,.7931431822264484,2.164683134282703,656.9199275981684,1.478913158254576,.0902511
2276033,276033 (2002 AJ129),18.7,0.4836764882,1.0815335068,True,.1166297047082398,2.624255201609983,585.9892275316886,1.370442453159111,.00573393
2276111,276111 (2002 GM9),18.6,0.5064714588,1.1325046106,False,1.21419947486627,2.516006848875438,930.3636083010966,1.865103161870854,.376345
2276409,276409 (2002 YN2),18.5,0.5303407233,1.1858779086,False,.5131201046280708,1.972301779913021,506.0036044017668,1.242710942270546,.341957
2276392,276392 (2002 XH4),19.4,0.3503926411,0.7835017643,False,1.173176594769926,2.043455937073725,744.9988601268465,1.608316265921825,.183634
2276397,276397 (2002 XA40),17.1,1.0105434154,2.2596437711,False,1.176558940914637,3.353750604787962,1245.217597229556,2.2651547728513,.189712
2276468,276468 (2003 HQ32),18.0,0.6676594135,1.4929318344,False,1.295013260304982,2.661728503338705,1016.389088195341,1.978370881821843,.479199
2276732,276732 (2004 EV9),17.7,0.7665755735,1.7141150923,False,.3224388298093784,2.619344496649187,651.5825673917045,1.470891663229283,.107284
2276703,276703 (2004 BL11),19.1,0.4023045798,0.8995803882,False,.3152456461961255,2.204872402782557,516.6361133728069,1.260059024489341,.131069
2276660,276660 (2003 WB25),18.3,0.5815070396,1.30028927,False,1.270448197851106,2.299851591563268,871.1851417406473,1.785149894707187,.318011
2276891,276891 (2004 RH340),19.4,0.3503926411,0.7835017643,False,.8006659414170034,1.788550570174033,538.0293719403362,1.294608255795518,.161534
2276770,276770 (2004 HC),19.9,0.2783267681,0.6223575734,False,.3166507807197626,1.261585112263576,256.042056951144,.7891179464916694,.093078
2276786,276786 (2004 KD1),17.7,0.7665755735,1.7141150923,False,1.151925952420471,2.287577191714941,823.752981607931,1.719751572067706,.137423
2277039,277039 (2005 CF41),18.5,0.5303407233,1.1858779086,False,.6824950339286896,2.614106624621787,772.9530986815759,1.648300829275238,.207285
2277279,277279 (2005 SA71),18.8,0.4619074603,1.0328564805,False,1.023410276453068,2.212792009849168,751.8079674394996,1.618101143151118,.2081
2277127,277127 (2005 GW119),18.7,0.4836764882,1.0815335068,False,1.257989765875472,2.023507943341013,767.6470609481008,1.640748854608242,.27224
2277142,277142 (2005 LG8),16.7,1.214940408,2.7166893409,False,.3026621160286805,3.2082982278552,849.5566028313764,1.75548017194194,.310866
2277475,277475 (2005 WK4),20.1,0.2538370294,0.5675968529,True,.7707231222769358,1.250623640533639,371.1202638805373,1.010673381405287,.00352344
2277570,277570 (2005 YP180),19.3,0.3669061375,0.8204270649,True,.5254583389986802,2.219283984301413,587.2267110398668,1.372371161650047,.016394
2277616,277616 (2006 BN6),17.4,0.8801465209,1.9680674509,False,.7718286432635759,4.354602883646792,1498.912132118721,2.563215763455184,.182818
2277617,277617 (2006 BT7),18.3,0.5815070396,1.30028927,False,.5585601711549242,2.48543484303908,685.8345167026126,1.521997507097002,.252635
2277958,277958 (2006 SP134),16.8,1.1602590821,2.5944181791,False,.5408450216214645,3.559979862325219,1072.408554418466,2.050412441973342,.218015
2279744,279744 (1998 KM3),19.8,0.2914439045,0.6516883822,True,.6502953548789868,2.692427381991103,789.2306929190344,1.671361368435045,.00256833
2277810,277810 (2006 FV35),21.6,0.1272198785,0.2844722965,False,.6233095967180015,1.379315356685185,365.976220974618,1.001312476701593,.104655
2280136,280136 (2002 OM4),17.2,0.9650614696,2.1579430484,False,.654085154579252,2.338119267716441,668.4059759148253,1.496102211147846,.298113
2278327,278327 (2007 HA59),15.3,2.3150212221,5.176544822,False,.6866527568699223,4.335217219623524,1453.28780540521,2.510934988246723,.285986
2278381,278381 (2007 MR),21.9,0.1108038821,0.2477650126,False,.758248474648149,1.288049447550531,378.0129935986815,1.02314896109934,.0692496
2279816,279816 (2000 JE5),19.1,0.4023045798,0.8995803882,True,.742270851062106,1.734372575593896,503.3251817698239,1.238321713328001,.0470302
2280244,280244 (2002 WP11),18.1,0.6376097899,1.4257388333,False,1.189795603799217,3.062388013307012,1132.325918367986,2.126091808553114,.194847
2281365,281365 (2008 CM116),17.4,0.8801465209,1.9680674509,False,.5492117670873339,2.711841235059887,760.4842422431801,1.63052650107361,.315476
2280491,280491 (2004 MO7),19.0,0.4212646106,0.9419763057,False,.5701698199748877,1.639206396140017,424.0899152445548,1.104688108057452,.0553823
2281070,281070 (2006 OY10),18.7,0.4836764882,1.0815335068,False,.7690613651889948,2.843913148589835,886.8512457684466,1.806487256889415,.134741
2283460,283460 (2001 PD1),18.3,0.5815070396,1.30028927,False,1.210023432050887,3.257552792014403,1219.442676631108,2.233788112032645,.239488
